"","DIAMETER","TREAT","SITE","PLOT","REP","SPP","DBH","stem.bio","branch.bio","new.bio","tot.s.b.n","total.agb"
"135",0.6136,"Unburned","INGRID",14,1,"salix",NA,4.10909425941986,0.798691701070668,1.07238431706475,5.98017027755528,5.90659876614996
"136",2.9136,"Unburned","INGRID",14,2,"salix",NA,348.255632866706,93.8870252707831,32.0049853730144,474.147643510503,485.242268847634
"137",0.5754,"Unburned","INGRID",14,3,"salix",NA,3.42126683616942,0.656081455089934,0.932169048201477,5.00951733946084,4.92421066090757
"138",0.3974,"Unburned","INGRID",14,5,"salix",NA,1.191440235874,0.211391372283512,0.415984481986674,1.81881609014418,1.72757447550072
"139",0.6374,"Unburned","INGRID",15,1,"salix",NA,4.57980748035705,0.897327337491314,1.16514151801773,6.64227633586609,6.57821486115396
"140",0.8624,"Unburned","INGRID",15,2,"salix",NA,10.8403370334499,2.26317827937461,2.25219224809097,15.3557075609154,15.4766757405461
"141",0.6472,"Unburned","INGRID",15,3,"salix",NA,4.78335488501321,0.940216426140954,1.2045486293686,6.92811994052276,6.86848424706536
"142",0.706,"Unburned","INGRID",15,4,"salix",NA,6.12867020178147,1.22685258747964,1.45597741174879,8.81150020100989,8.78494872813673
"143",0.603,"Unburned","INGRID",15,5,"salix",NA,3.91000392333134,0.757218076708075,1.03240982644341,5.69963182648283,5.6223764475184
"144",0.5822,"Unburned","INGRID",16,2,"salix",NA,3.53776211370601,0.680097116240928,0.956352037424362,5.1742112673713,5.09068537019774
"145",0.5532,"Unburned","INGRID",16,3,"salix",NA,3.05834899468414,0.581660326273717,0.855546310497994,4.49555563145585,4.40533026068805
"146",0.3458,"Unburned","INGRID",16,4,"salix",NA,0.80153791779928,0.138119330365679,0.307184193554136,1.2468414417191,1.16545804977287
"147",1.133,"Subsidence","MIKE",17,1,"salix",NA,23.595440888145,5.2166718917152,4.08302080176902,32.8951335816292,33.5036846364052
"148",0.7478,"Subsidence","MIKE",17,2,"salix",NA,7.22040264952093,1.46296355788791,1.65048922564171,10.3338554330505,10.3379584252243
