site,trt,plot,rep,n,c,delta.n,delta.c,CN
MK,U,20,5,2.45942906,45.64319351,0.122820743,-27.89430106,18.55845092
MK,T,17,1,1.750119921,47.61350342,-4.115330734,-28.83010137,27.20585192
MK,T,17,2,1.788825375,47.48964583,-3.710519624,-28.3138562,26.54794956
MK,T,17,3,1.671073866,46.97571883,-3.833272001,-27.48247034,28.11109657
MK,T,17,4,1.759589692,46.78372795,-3.794842506,-28.6271177,26.58786202
MK,T,17,5,,,,,
MK,T,18,1,1.785661188,46.16395263,-3.564283965,-27.50590278,25.85258219
MK,T,18,2,1.67286401,46.59540253,-3.237035227,-28.7271001,27.85367026
MK,T,18,3,1.925191153,47.31824784,-3.450007355,-26.88291712,24.57846732
MK,T,18,4,1.595451421,47.01908132,-3.277815984,-28.14624833,29.47070697
MK,T,18,5,1.586092578,46.57423707,-4.258419184,-28.17482849,29.36413531
MK,T,19,1,1.934552615,46.33580792,-1.998796899,-28.46597171,23.95169176
MK,T,19,2,3.062201623,57.39841473,0.018046763,-25.13140297,18.74416573
MK,T,19,3,1.813081283,46.77684341,-2.574614969,-29.09467856,25.79963946
MK,T,19,4,1.703377961,46.03489587,-4.760776317,-28.20142845,27.02564958
MK,T,19,5,1.702969923,48.05643236,-2.711337056,-26.36901395,28.21919032
MK,T,20,1,1.339562281,46.14493477,-3.083448104,-28.32518316,34.44777106
MK,T,20,2,1.521140638,45.77306763,-2.629818326,-27.66022708,30.09127919
MK,T,20,3,1.67920166,47.24220618,-3.348702778,-27.8472689,28.13373004
MK,T,20,4,1.85536019,45.83904622,-2.738066388,-26.47251212,24.70627885
MK,T,20,5,1.48637826,46.46209358,-2.424361111,-28.41915457,31.25859334
MK,S,17,1,1.614265866,48.56532449,-4.007196493,-28.23608815,30.08508419
MK,S,17,2,1.637601849,48.06999663,-4.624248744,-27.17413469,29.35389738
MK,S,17,3,2.154158479,49.09200221,-4.843926667,-28.59859952,22.78941066
MK,S,17,4,1.576231995,48.83351407,-5.394166199,-28.08779331,30.9811717
MK,S,17,5,1.571360557,48.43192751,-5.158560602,-28.24174274,30.82165153
MK,S,18,1,1.764360884,47.93975611,-3.978745705,-27.98328575,27.17117373
MK,S,18,2,1.780148617,46.72176516,-3.612356667,-26.89699255,26.24599133
MK,S,18,3,1.516161994,48.04154403,-3.943562931,-27.8805536,31.68628697
MK,S,18,4,1.386449367,48.88426779,-4.06746381,-28.12816283,35.25860299
MK,S,18,5,1.680895247,47.31906276,-4.26439235,-27.21608959,28.15110748
MK,S,19,1,1.44615705,48.56267302,-2.617647325,-27.23455116,33.58049737
MK,S,19,2,1.484895566,48.67806246,-2.831114104,-28.07925417,32.78214548
MK,S,19,3,2.042374815,48.08120904,-1.784622059,-29.16541828,23.5418145
MK,S,19,4,2.138735674,48.3014939,-2.263945479,-28.15769574,22.5841344
MK,S,19,5,1.574870071,47.30965822,-4.047212221,-29.423343,30.0403564
MK,S,20,1,1.559534131,47.19827637,-4.758654371,-30.52341484,30.26434333
MK,S,20,2,1.252908085,48.97619758,-4.206528274,-29.74687563,39.09001639
MK,S,20,3,1.783616356,46.88246661,-4.9149844,-28.4470049,26.28506206
MK,S,20,4,1.640608902,47.62159937,-3.521294948,-29.04252669,29.02678348
MK,S,20,5,2.154569238,47.53166875,-4.168862346,-28.23343645,22.06086855
