YEAR,SERIES,BAI,TREAT,SITE,PLOT,REP
2001,hes7.5,NA,sub,MIKE,20,5
2001,hes8.2,NA,fire,MIKE,17,4
2001,hes8.3,NA,fire,MIKE,19,1
2001,hes8.4,NA,fire,MIKE,19,3
2001,hes8.5,NA,fire,MIKE,19,5
2001,het7.5,NA,fire,MIKE,20,3
2001,het7.1,NA,nothing,MIKE,17,1
2001,het7.2,NA,nothing,MIKE,17,3
2001,het7.3,NA,nothing,MIKE,17,5
2001,het7.4,NA,nothing,MIKE,18,4
2001,het5.2,NA,nothing,MIKE,19,4
2001,het5.3,NA,nothing,MIKE,19,2
2001,het5.4,NA,nothing,MIKE,19,3
2001,het5.5,NA,nothing,MIKE,20,2
2001,het5.1,NA,nothing,MIKE,20,3
2001,het6.1,NA,nothing,MIKE,20,5
2001,het6.2,NA,sub,SETH,9,2
2001,het6.3,NA,sub,SETH,10,1
2001,het6.4,NA,sub,SETH,10,4
2001,het6.5,NA,sub,SETH,11,1
2001,het8.1,NA,sub,SETH,11,4
2001,het8.2,NA,sub,SETH,12,1
2001,het8.3,NA,sub,SETH,12,4
2001,het8.4,NA,fire,SETH,9,4
2001,het8.5,NA,fire,SETH,10,3
2001,heu5.4,NA,fire,SETH,11,1
2001,heu5.5,NA,fire,SETH,11,5
2001,heu6.2,NA,fire,SETH,12,3
2001,heu6.4,NA,nothing,SETH,9,1
2001,heu7.1,NA,nothing,SETH,9,3
2001,heu7.2,NA,nothing,SETH,9,4
2001,heu7.3,NA,nothing,SETH,10,2
2001,heu7.4,NA,nothing,SETH,10,5
2001,heu7.5,NA,nothing,SETH,11,1
2001,heu8.1,NA,nothing,SETH,11,3
2001,heu8.2,NA,nothing,SETH,12,1
2001,heu8.3,NA,nothing,SETH,12,3
2001,heu8.4,NA,sub,HEATHER,6,5
2001,heu8.5,NA,sub,ALY,3,2
2001,ins13.1,NA,fire,ALY,1,1
2001,ins13.2,NA,sub,HEATHER,5,5
2001,ins13.3,NA,sub,HEATHER,5,4
2001,ins13.4,NA,sub,HEATHER,5,1
2001,ins14.1,NA,sub,ALY,3,2
2001,ins14.2,NA,sub,HEATHER,8,4
2001,ins14.3,NA,fire,HEATHER,5,1
2001,ins14.4,NA,sub,MIKE,20,3
2001,ins14.5,NA,fire,MIKE,17,4
2001,ins15.1,NA,sub,MIKE,20,3
2001,ins15.2,NA,sub,ALY,3,1
